N,Function,Latency_ms,Estimation,Error_abs,Error_rel
1,P1_CUDA_Det,0.039485,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040806,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040105,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040065,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039995,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040496,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039965,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040426,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040075,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040947,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040546,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040526,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039654,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039975,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040897,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040186,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040906,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040376,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040436,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039985,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039654,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040355,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040597,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040086,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040185,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039815,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040175,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039604,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040937,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040075,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040466,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040406,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040366,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040516,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040406,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040896,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040526,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040446,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040155,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040476,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040416,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039924,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040436,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039634,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040716,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040506,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040897,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040386,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039965,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040024,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040376,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040225,0.00788608,1.93972e-06,0.000246028
